tryIndex,frameNumberLimit,frameNumberRecord,pivotX,pivotY,sateliteX,sateliteY,sateliteVelX,sateliteVelY
0,,1686,1000.0,500.0,441.80716,83.33284,-2.7051597,0.046583652
1,,1724,1000.0,500.0,1787.7434,530.53937,2.4710512,-3.298995
2,,2641,1000.0,500.0,314.21744,2.180636,-3.100206,0.57821274
3,,2641,1000.0,500.0,421.05115,779.82117,-1.02284,1.8545709
4,,3538,1000.0,500.0,1612.5615,89.512764,3.0346951,2.6636853
5,,2641,1000.0,500.0,1731.1034,650.40985,2.596685,0.39204836
6,,3748,1000.0,500.0,192.2313,200.27567,-1.2020798,-0.7614188
7,,3756,1000.0,500.0,1862.4028,166.80956,1.593607,2.9223838
8,,3973,1000.0,500.0,1900.9731,252.34216,1.0185232,0.13598871
9,,4022,1000.0,500.0,1643.6428,150.68405,2.4664283,-1.4519215
10,,2641,1000.0,500.0,905.2031,504.20056,0.9760001,1.9609175
11,,2835,1000.0,500.0,1063.425,589.9219,-1.2934828,-1.1349871
12,,3246,1000.0,500.0,826.3682,422.2968,1.5467992,0.0016436577
